COGNOME;NOME;DATA NASCITA (gg/mm/aaaa);LUOGO NASCITA;PROVINCIA NASCITA;DATA FINE CONTROLLO (gg/mm/aaaa);ENTE DI APPARTENENZA;RUOLO
ABODI;ANDREA;07/03/1960;ROMA;RM;31/12/2030;MINISTERO PER LO SPORT E I GIOVANI;MINISTRO
ACQUAROLI;FRANCESCO;25/09/1974;MACERATA;MC;31/12/2030;REGIONE MARCHE;PRESIDENTE
AIELLO ;DAVIDE ;31/10/1985;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ALBANO;LUCIA;11/02/1965;SAN BENEDETTO DEL TRONTO;AP;31/12/2030;Ministero dell'Economia e delle Finanze;SOTTOSEGRETARIO DI STATO
ALBANO;LUCIA;11/02/1965;SAN BENEDETTO DEL TRONTO;AP;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ALBERTI CASELLATI;ELISABETTA;12/08/1946;ROVIGO;RO;31/12/2030;MINISTERO PER LE RIFORME ISTITUZIONALI E LA SEMPLIFICAZIONE NORMATIVA;MINISTRO
ALBERTI CASELLATI;MARIA ELISABETTA;12/08/1946;ROVIGO;RO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ALFIERI;ALESSANDRO;02/02/1972;VARESE;VA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ALIFANO;ENRICA;31/01/1967;CASERTA;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ALMICI;CRISTINA;26/06/1969;BRESCIA;BS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ALOISIO;VINCENZA;15/12/1946;MURO LUCANO;PZ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
AMATO;GAETANO;05/06/1957;CASTELLAMMARE DI STABIA;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
AMBROGIO;PAOLA;02/12/1970;TORINO;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
AMBROSI;ALESSIA;14/04/1982;NEGRAR;VR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
AMENDOLA;VINCENZO;22/12/1973;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
AMICH;ENZO;26/07/1977;CASALE MONFERRATO;AL;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
AMIDEI;BARTOLOMEO;23/05/1961;ROVIGO;RO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
AMORESE;ALESSANDRO;08/10/1974;CARRARA;MS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
AMOROSO;GIOVANNI;30/03/1949;MERCATO SAN SEVERINO;SA;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
ANCOROTTI;RENATO;19/03/1956;CREMA ;CR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ANDREUZZA;GIORGIA;11/12/1973;PARMA;PR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ANGELUCCI;ANTONIO;16/09/1944;SANTE MARIE;AQ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ANTONINI;LUCA;27/05/1963;GALLARATE;VA;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
ANTONIOZZI;ALFREDO;18/03/1956;COSENZA;CS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
APPENDINO;CHIARA;12/06/1984;MONCALIERI;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ARRUZZOLO;GIOVANNI;30/03/1960;ROSARNO;RC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ASCANI;ANNA;17/10/1987;CITTA' DI CASTELLO;PG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ASCARI;STEFANIA;03/03/1980;CORREGGIO;RE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
AURIEMMA;CARMELA;03/07/1981;MADDALONI;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BAGNAI;ALBERTO;10/10/1962;FIRENZE;FI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BAGNASCO;ROBERTO;07/04/1950;NOVI LIGURE ;AL;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BAKKALI;OUIDAD;15/03/1986;MAROCCO;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BALBONI;ALBERTO;19/06/1959;FERRARA;FE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BALDELLI;ANTONIO;24/06/1971;ANCONA;AN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BALDINO;VITTORIA;28/05/1988;ROSSANO;CS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BARABOTTI;ANDREA;14/09/1985;MASSA ;MS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BARACHINI;ALBERTO;21/08/1972;PISA;PI;31/12/2030;Presidenza del Consiglio dei Ministri;SOTTOSEGRETARIO DI STATO
BARACHINI;ALBERTO;21/08/1972;PISA;PI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BARBAGALLO;ANTONY EMANUELE;24/12/1975;CATANIA;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BARBARO;CLAUDIO;17/07/1955;ROMA;RM;31/12/2030;Ministero dell'Ambiente e della Sicurezza energetica;SOTTOSEGRETARIO DI STATO
BARBERA;AUGUSTO ANTONIO;25/06/1938;AIDONE;EN;31/12/2030;CORTE COSTITUZIONALE;PRESIDENTE
BARCAIUOLO;MICHELE;07/02/1979;MODENA;MO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BARDI;VITO;18/09/1951;POTENZA;PZ;31/12/2030;REGIONE BASILICATA;PRESIDENTE
BARELLI;PAOLO;07/06/1954;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BARZOTTI;VALENTINA;05/02/1986;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BASSO;LORENZO;19/02/1976;GENOVA;GE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BATTILOCCHIO;ALESSANDRO;03/05/1977;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BATTISTONI;FRANCESCO;23/02/1967;MONTEFIASCONE ;VT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BAZOLI;ALFREDO;15/12/1969;BRESCIA;BS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BELLOMO;DAVIDE;18/02/1970;ASCOLI PICENO;AP;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BELLUCCI;TERESA;19/07/1972;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BENIGNI;STEFANO;16/07/1987;ALZANO LOMBARDO ;BG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BENVENUTI;MARIA TERESA;17/01/1976;ANCONA;AN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BENVENUTO;ALESSANDRO MANUEL;23/07/1986;VENARIA REALE ;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BENZONI;FABRIZIO;04/11/1985;BRESCIA ;BS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BERGAMINI;DAVIDE;07/02/1973;BONDENO ;FE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BERGAMINI;DEBORAH;24/10/1967;VIAREGGIO ;LU;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BERGAMOTTO;FAUSTA;28/07/1968;L'AQUILA;AQ;31/12/2030;Ministero delle Imprese e del Made in Italy;SOTTOSEGRETARIO DI STATO
BERGESIO;GIORGIO MARIA ;22/11/1963;BRA ;CN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BERNINI;ANNA MARIA;17/08/1965;BOLOGNA;BO;31/12/2030;MINISTERO DELL'UNIVERSITA' E DELLA RICERCA;MINISTRO
BERNINI;ANNA MARIA ;17/08/1965;BOLOGNA;BO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BERRINO;GIANNI;07/05/1964;SANREMO;IM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BERRUTO;MAURO;08/05/1969;TORINO;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BEVILACQUA;DOLORES;27/08/1974;PARTINICO ;PA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BIANCOFIORE;MICHAELA;28/12/1970;BOLZANO;BZ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BICCHIELLI;PINO;31/03/1967;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BIGNAMI;GALEAZZO;25/10/1975;BOLOGNA;BO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BILLI;SIMONE;11/02/1976;FIRENZE;FI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BILOTTI;ANNA;15/06/1982;BATTIPAGLIA ;SA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BISA;INGRID;10/01/1978;ASOLO ;TV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BITONCI;MASSIMO;24/06/1965;PADOVA;PD;31/12/2030;Ministero delle Imprese e del Made in Italy;SOTTOSEGRETARIO DI STATO
BITONCI;MASSIMO;24/06/1965;PADOVA;PD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BIZZOTTO;MARA;03/06/1972;BASSANO DEL GRAPPA ;VI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BOCCIA;FRANCESCO;18/03/1968;BISCEGLIE ;BA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BOF;GIANANGELO;07/01/1975;VITTORIO VENETO ;TV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BOLDRINI;LAURA;28/04/1961;MACERATA;MC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BONAFE';SIMONA;12/07/1973;VARESE;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BONELLI;ANGELO;30/07/1962;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BONETTI;ELENA;12/04/1974;ASOLA ;MN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BONGIORNO;GIULIA;22/03/1966;PALERMO;PA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BONIFAZI;FRANCESCO;24/06/1976;FIRENZE;FI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BORDONALI;SIMONA;01/08/1971;BRESCIA;BS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BORGHESE;MARIO ALEJANDRO;14/04/1981;ARGENTINA;;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BORGHESI;STEFANO;16/09/1977;BRESCIA;BS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BORGHI;CLAUDIO;06/06/1970;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BORGHI;ENRICO;06/08/1967;PREMOSELLO-CHIOVENDA;NO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BORGONZONI;LUCIA;18/09/1976;BOLOGNA;BO;31/12/2030;Ministero della Cultura;SOTTOSEGRETARIO DI STATO
BORGONZONI;LUCIA;18/09/1976;BOLOGNA;BO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BORRELLI;FRANCESCO EMILIO;14/08/1973;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BOSCAINI;MARIA PAOLA;22/09/1954;BUSSOLENGO ;VR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BOSCHI;MARIA ELENA;24/01/1981;MONTEVARCHI ;AR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BOSSI;UMBERTO;19/09/1941;CASSANO MAGNAGO ;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BRAGA C;CHIARA ;02/09/1979;COMO;CO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BRAMBILLA;MICHELA VITTORIA;26/10/1967;LECCO;CO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BRUNO;RAFFAELE;03/05/1974;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BRUZZONE;FRANCESCO;23/05/1962;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BUCALO;CARMELA;27/06/1963;BARCELLONA POZZO DI GOTTO ;ME;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
BUCCI;MARCO;31/10/1959;GENOVA;GE;31/12/2030;REGIONE LIGURIA;PRESIDENTE
BUONGUERRIERI;ALICE;04/09/1978;BAGNO DI ROMAGNA ;FO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
BUSCEMA;ANGELO;09/02/1952;ROMA;RM;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
BUSCEMA;ANGELO;09/02/1952;ROMA;RM;31/12/2030;CORTE DEI CONTI;PRESIDENTE
BUTTI;ALESSIO;15/10/1964;COMO;CO;31/12/2030;Presidenza del Consiglio dei Ministri;SOTTOSEGRETARIO DI STATO
BUTTI;ALESSIO;15/10/1964;COMO;CO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CAFIERO DE RAHO;FEDERICO;18/02/1952;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CAIATA;SALVATORE;29/07/1970;POTENZA;PZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CALANDRINI;NICOLA;05/11/1966;LATINA;LT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CALDEROLI;ROBERTO;18/04/1956;BERGAMO;BG;31/12/2030;MINISTERO PER GLI AFFARI REGIONALI E LE AUTONOMIE;MINISTRO
CALDEROLI;ROBERTO;18/04/1956;BERGAMO;BG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CALDERONE;MARINA ELVIRA;30/07/1965;BONORVA;SS;31/12/2030;MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI;MINISTRO
CALDERONE;TOMMASO ANTONINO;30/01/1963;BARCELLONA POZZO DI GOTTO ;ME;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CALENDA;CARLO;09/04/1973;ROMA;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CALOVINI;GIANGIACOMO;16/03/1982;BRESCIA;BS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CAMPIONE;SUSANNA DONATELLA;03/02/1966;LIBIA;;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CAMUSSO;SUSANNA LINA GIULIA;14/08/1955;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CANDIANI;STEFANO;11/12/1971;BUSTO ARSIZIO ;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CANGIANO;GEROLAMO;19/03/1981;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CANNATA;GIOVANNI LUCA;17/05/1979;SIRACUSA;SR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CANNIZZARO;FRANCESCO;24/06/1982;REGGIO CALABRIA;RC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CANTALAMESSA;GIANLUCA;02/02/1968;NAPOLI;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CANTONE;LUCIANO;24/05/1987;CATANIA;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CANTU';MARIA CRISTINA;21/12/1964;VARESE;VA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CAPARVI;VIRGINIO;25/09/1982;FOLIGNO ;PG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CAPPELLACCI;UGO;27/11/1960;CAGLIARI;CA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CAPPELLETTI;ENRICO;05/02/1968;PADOVA;PD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CARAMANNA;GIANLUCA;25/07/1975;GERMANIA;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CARAMIELLO;ALESSANDRO;07/07/1977;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CARE';NICOLA;31/07/1960;GUARDAVALLE ;CZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CARETTA;MARIA CRISTINA;11/01/1964;THIENE ;VI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CARFAGNA;MARIA ROSARIA;18/12/1975;SALERNO;SA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CARLONI;MIRCO;14/01/1981;FANO ;PS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CARMINA;IDA;16/11/1963;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CAROPPO;ANDREA;26/06/1979;POGGIARDO ;LE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CAROTENUTO;DARIO;11/02/1978;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CARRA';ANASTASIO;30/03/1964;MOTTA SANT'ANASTASIA ;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CASASCO;MAURIZIO;07/09/1954;RIVANAZZANO;PV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CASINI;PIER FERDINANDO;03/12/1955;BOLOGNA;BO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CASO;ANTONIO;05/02/1984;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CASTELLI;GUIDO;30/11/1965;SIENA;SI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CASTELLONE;MARIA DOMENICA;03/04/1975;VILLARICCA ;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CASTIELLO;FRANCESCO;13/10/1942;VALLO DELLA LUCANIA ;SA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CASTIELLO;GIUSEPPINA;30/01/1971;AFRAGOLA;NA;31/12/2030;Ministero per i Rapporti con il Parlamento;SOTTOSEGRETARIO DI STATO
CASTIGLIONE;GIUSEPPE;05/10/1963;BRONTE ;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CASU;ANDREA;06/11/1981;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CATALDI;ROBERTO;15/04/1960;ASCOLI PICENO;AP;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CATTANEO;ALESSANDRO;12/06/1979;RHO ;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CATTANEO;ELENA;22/10/1962;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CATTOI;VANESSA;12/07/1980;ROVERETO ;TN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CAVANDOLI;LAURA;15/12/1971;PARMA;PR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CAVO;ILARIA;11/10/1973;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CECCHETTI;FABRIZIO;03/12/1977;RHO ;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CENTEMERO;GIULIO;30/01/1979;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CENTINAIO;GIAN MARCO;31/10/1971;PAVIA;PV;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CERRETO;MARCO;01/01/1971;CASERTA;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
